"benchmark", "count", "time (ms)"
branches, 1, 69
branches, 10, 12
branches, 100, 13
branches, 1000, 105
branches, 2000, 376
branches, 3000, 785
branches, 4000, 1437
branches, 5000, 2166
branches, 7500, 5530
branches, 10000, 9230
vars, 1, 10
vars, 10, 11
vars, 100, 11
vars, 1000, 16
vars, 2000, 37
vars, 3000, 55
vars, 4000, 38
vars, 5000, 43
vars, 7500, 60
vars, 10000, 74
mod_inline, 1, 10
mod_inline, 10, 10
mod_inline, 100, 17
mod_inline, 1000, 73
mod_inline, 2000, 146
mod_inline, 3000, 228
mod_inline, 4000, 290
mod_inline, 5000, 342
mod_inline, 7500, 510
mod_inline, 10000, 686
rec_inline, 1, 12
rec_inline, 10, 11
rec_inline, 100, 16
rec_inline, 1000, 69
rec_inline, 2000, 144
rec_inline, 3000, 197
rec_inline, 4000, 245
rec_inline, 5000, 355
rec_inline, 7500, 437
rec_inline, 10000, 606
scoped_vars, 1, 17
scoped_vars, 10, 11
scoped_vars, 100, 10
scoped_vars, 1000, 16
scoped_vars, 2000, 22
scoped_vars, 3000, 38
scoped_vars, 4000, 35
scoped_vars, 5000, 43
scoped_vars, 7500, 59
scoped_vars, 10000, 7
